question,label,question_type,question_wo_instruct,instruction,answer_format,answer_temporal_unit,split,response
"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2005-04-07'},trick,"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 7 days from the date of the most important game. We can do this by counting back 7 days from April 14, 2005. April 14 - 7 days = April 7, 2005"", ""answer"": ""2005-04-07""}"
"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2019-03-01'},trick,"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of your cousin, we need to subtract 6 days from your birth date. We can do this by subtracting 6 from the day of the month, and then check if the resulting date is valid (i.e., not February 28 or March 31). If it is valid, we can keep the same month and year. Otherwise, we need to adjust the month and year accordingly."", ""answer"": ""2019-03-01""}"
"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-06-10'},trick,"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""We need to subtract 10 days from your birthdate to find the birthdate of your cousin. We can use the datetime module to subtract the days. However, since the question doesn't specify the year, month and day of the result, we assume that the result will be in the same year. So the date of birth of your cousin is 2001-06-10."", ""answer"": ""2001-06-10""}"
"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2006-06-08'},trick,"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of your cousin, we need to subtract 5 days from your birthdate. We can do this by subtracting 5 from the day, and if the day becomes 0, we need to subtract 1 from the month and set the day to 30, and if the month becomes 0, we need to subtract 1 from the year and set the month to 12 and set the day to 30. This process is called date arithmetic."", ""answer"": ""2006-06-08""}"
"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2012-12-17'},trick,"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 2 days from the date of the most important game. The most important game was on 2012-12-19. Subtracting 2 days from this date, we get 2012-12-17."", ""answer"": ""2012-12-17""}"
"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2016-11-07'},trick,"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 7 days from November 14, 2016. We can do this by first subtracting 7 days from the day of the month (14 - 7 = 7) and then subtracting 1 day from the month of November (since November has 30 days, we are still in November). November 7, 2016 is the date of the second most important game."", ""answer"": ""2016-11-07""}"
"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-08-07'},trick,"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date 3 days ago, we subtract 3 from the current day. The current date is 2001-08-10. 10 - 3 = 7. Therefore, the date 3 days ago is 2001-08-07"", ""answer"": ""2001-08-07""}"
"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2007-11-18'},trick,"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of your cousin, we need to subtract 2 days from your birthdate. Since the date of birth is given in the format yyyy-mm-dd, we can simply subtract 2 days from the day part of the date, while keeping the year and month the same."", ""answer"": ""2007-11-18""}"
"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2003-12-04'},trick,"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 10 days from the date of the most important game. We can do this by subtracting 10 from the day of the month, and if the result is less than 1, we need to subtract 1 from the month and add 30 to the day. If the result is still less than 1, we need to subtract 1 from the year and add 365 to the day of the year (ignoring leap years for simplicity)."", ""answer"": ""2003-12-04""}"
"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2020-07-12'},trick,"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""The second most important game was 2 days before the most important game. We can find the date of the second most important game by subtracting 2 days from the date of the most important game. This is a simple arithmetic operation."", ""answer"": ""2020-07-12""}"
