question,label,question_type,question_wo_instruct,instruction,answer_format,answer_temporal_unit,split,response
"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2005-04-07'},trick,"The most important game was on 2005-04-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 7 days from the date of the most important game, which is 2005-04-14. To do this subtraction, we can count backwards from the given date."", ""answer"": ""2005-04-07""}"
"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2019-03-01'},trick,"I was born on 2019-03-07 (yyyy-mm-dd) and my cousin was born 6 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we need to subtract 6 days from the given date of birth (2019-03-07). March has 31 days, so we can simply subtract 6 days from 07th. The subtraction results in 01st of March. Therefore, the cousin's date of birth is 2019-03-01."", ""answer"": ""2019-03-01""}"
"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-06-10'},trick,"I was born on 2001-06-20 (yyyy-mm-dd) and my cousin was born 10 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of birth of the cousin, we need to subtract 10 days from the given date of birth. The given date is 2001-06-20. Subtracting 10 days from June 20th takes us to June 10th of the same year."", ""answer"": ""2001-06-10""}"
"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2006-06-08'},trick,"I was born on 2006-06-13 (yyyy-mm-dd) and my cousin was born 5 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""The birthdate given is 2006-06-13. To find the cousin's birthdate, we need to subtract 5 days from this date. Subtracting 5 days from June 13th leads us to June 8th."", ""answer"": ""2006-06-08""}"
"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2012-12-17'},trick,"The most important game was on 2012-12-19 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 2 days from the given date of the most important game, which is 2012-12-19. We can do this by subtracting 2 from the day part of the date."", ""answer"": ""2012-12-17""}"
"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2016-11-07'},trick,"The most important game was on 2016-11-14 (yyyy-mm-dd) and the second most important game was 7 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 7 days from the date of the most important game. The given date for the most important game is 2016-11-14."", ""answer"": ""2016-11-07""}"
"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2001-08-07'},trick,"If the date for today in yyyy-mm-dd format is 2001-08-10, what was the date 3 days ago in the same format? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date 3 days ago from 2001-08-10, we simply subtract 3 days from the given date. So, 2001-08-10 - 3 days = 2001-08-07."", ""answer"": ""2001-08-07""}"
"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2007-11-18'},trick,"I was born on 2007-11-20 (yyyy-mm-dd) and my cousin was born 2 days before me. Give the date of birth of my cousin in the same format. If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""The date of birth provided is 2007-11-20. To find the cousin's date of birth, we need to subtract 2 days from this date. Subtracting 2 days from November 20th takes us to November 18th. Since we are not crossing any month boundaries, the year remains the same. Therefore, the cousin's date of birth is 2007-11-18."", ""answer"": ""2007-11-18""}"
"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2003-12-04'},trick,"The most important game was on 2003-12-14 (yyyy-mm-dd) and the second most important game was 10 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 10 days from the given date, which is 2003-12-14. We can do this by simply subtracting 10 from the day part of the date."", ""answer"": ""2003-12-04""}"
"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"". Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.",{'answer': '2020-07-12'},trick,"The most important game was on 2020-07-14 (yyyy-mm-dd) and the second most important game was 2 days before it. What was the date of the second most important game? If the question cannot be answered, reply ""unanswerable"".","Format your answer as a JSON, eg: JSON = {""explanation"": <your step by step solution>, ""answer"": ""<answer>""}, where <answer> is the computed answer, or ""unanswerable"" if the question cannot be answered.","""<answer>""",date,arithmetic," ""To find the date of the second most important game, we need to subtract 2 days from the date of the most important game. The given date for the most important game is 2020-07-14. Subtracting 2 days from this date will give us the date of the second most important game."", ""answer"": ""2020-07-12""}"
